"";"C";"intercept_scaling";"dataset";"metric"
"1";93,1059403878079;68,794872255028;"breast";"acc"
"2";98,2409093034206;29,5965819487688;"breast";"nll"
"3";0,0143834669790497;5,81323983078645;"clf-1";"acc"
"4";0,0204142182456335;65,9070054653076;"clf-1";"nll"
"5";0,0164238627404634;17,3180537283234;"clf-2";"acc"
"6";0,0544299892071732;71,9143429747424;"clf-2";"nll"
"7";0,0612080919547149;3,55838443359414;"clf-3";"acc"
"8";0,0100026996027212;86,2057948683666;"clf-3";"nll"
"9";0,0127163430933204;7,93173652705929;"clf-4";"acc"
"10";0,0530161354228861;4,04735530344577;"clf-4";"nll"
"11";0,0185839045887773;1,02191585236407;"clf-5";"acc"
"12";0,0849631628474916;34,0344156354409;"clf-5";"nll"
"13";0,0372149309042533;13,2385572142963;"digits";"acc"
"14";0,0622135152976903;80,8254543594628;"digits";"nll"
"15";25,6217868234476;2,2611077859486;"iris";"acc"
"16";99,9424629967839;82,5242181251702;"iris";"nll"
"17";38,5422959514585;4,10751815742182;"wine";"acc"
"18";2,71791662930095;10,6340704184757;"wine";"nll"
"19";30,7298114634785;7,83618141302203;"breast";"acc"
"20";16,1119438420268;0,966602605262185;"breast";"nll"
"21";0,0666078488655275;0,138455523694459;"clf-1";"acc"
"22";0,14146140977312;49,0052924249257;"clf-1";"nll"
"23";0,0487632951127605;6,67687022048054;"clf-2";"acc"
"24";0,173489391925786;24,9730536180583;"clf-2";"nll"
"25";0,170077723966721;26,3615171464574;"clf-3";"acc"
"26";0,179327049793276;80,3019011321027;"clf-3";"nll"
"27";0,0456845556793002;0,487790225444183;"clf-4";"acc"
"28";0,265215585010436;1,2519938432313;"clf-4";"nll"
"29";0,395305058199413;0,0681836210598046;"clf-5";"acc"
"30";0,171031910890328;99,0238371690269;"clf-5";"nll"
"31";0,181023111888593;3,06348409111694;"digits";"acc"
"32";0,245982711126189;95,2096874168191;"digits";"nll"
"33";35,5854958360796;1,11166006514967;"iris";"acc"
"34";68,9986522853474;88,284127140649;"iris";"nll"
"35";99,9395120125123;18,4685020744757;"wine";"acc"
"36";0,812911034903369;4,39524336261849;"wine";"nll"
